datahora,station,year,week,t_mean,precip_sum
2018-01-01,SIMULADA,2018,1,20.18615216298925,9.031848285590748
2018-01-08,SIMULADA,2018,2,20.333632714113506,30.0527932950788
2018-01-15,SIMULADA,2018,3,18.64253660780575,19.860245114808116
2018-01-22,SIMULADA,2018,4,15.16620834832793,14.623139262596467
2018-01-29,SIMULADA,2018,5,22.08137286570809,19.36651512701654
2018-02-05,SIMULADA,2018,6,24.45795946926351,58.029425759465425
2018-02-12,SIMULADA,2018,7,24.85133594653282,6.955013774844401
2018-02-19,SIMULADA,2018,8,21.627952133191645,24.35178892680249
2018-02-26,SIMULADA,2018,9,27.88952519776415,22.339331412389683
2018-03-05,SIMULADA,2018,10,23.313167318150953,14.176968369520964
2018-03-12,SIMULADA,2018,11,21.709413932178386,19.302292116752163
2018-03-19,SIMULADA,2018,12,23.390687498351106,31.89259062105907
2018-03-26,SIMULADA,2018,13,23.46296579725744,14.015154039488348
2018-04-02,SIMULADA,2018,14,24.85394731969656,11.771122705844189
2018-04-09,SIMULADA,2018,15,25.64618599499926,14.86754534962332
2018-04-16,SIMULADA,2018,16,26.082513568379248,7.859215013642695
2018-04-23,SIMULADA,2018,17,26.34534363353452,7.411332851814833
2018-04-30,SIMULADA,2018,18,21.905621494272815,8.440890601524709
2018-05-07,SIMULADA,2018,19,20.99735075834437,2.9374311065996177
2018-05-14,SIMULADA,2018,20,18.30171649030705,11.796345172511455
2018-05-21,SIMULADA,2018,21,17.742902225145222,3.664882725425789
2018-05-28,SIMULADA,2018,22,20.755090838543655,17.60990233827642
2018-06-04,SIMULADA,2018,23,27.107596459449688,14.294008829483502
2018-06-11,SIMULADA,2018,24,17.29481850278306,23.499620758665863
2018-06-18,SIMULADA,2018,25,22.469327728362504,11.335177808879493
2018-06-25,SIMULADA,2018,26,30.430968751601107,22.795055516792402
2018-07-02,SIMULADA,2018,27,27.63474207441631,7.173659790285857
2018-07-09,SIMULADA,2018,28,25.558569401946716,11.440303739527497
2018-07-16,SIMULADA,2018,29,15.142186062976322,11.251581135393316
2018-07-23,SIMULADA,2018,30,24.92768538250197,39.222682094414424
2018-07-30,SIMULADA,2018,31,19.54898370951842,64.4685082665854
2018-08-06,SIMULADA,2018,32,19.6545150134251,10.633812834794385
2018-08-13,SIMULADA,2018,33,26.766354959271982,42.76806192513842
2018-08-20,SIMULADA,2018,34,19.84438126914425,31.809544205912484
2018-08-27,SIMULADA,2018,35,26.337134789109797,16.42459879060291
2018-09-03,SIMULADA,2018,36,19.38750926260509,12.014724325264321
2018-09-10,SIMULADA,2018,37,24.65165457008687,38.99023710722926
2018-09-17,SIMULADA,2018,38,19.313749252417978,25.583987709178842
2018-09-24,SIMULADA,2018,39,10.727326195804768,10.272771119155967
2018-10-01,SIMULADA,2018,40,24.231648026979872,15.652719984283642
2018-10-08,SIMULADA,2018,41,25.035289623984507,20.973083123701947
2018-10-15,SIMULADA,2018,42,25.08864795918683,17.17190267271858
2018-10-22,SIMULADA,2018,43,17.064774331892423,8.330273648944392
2018-10-29,SIMULADA,2018,44,22.357525409838548,22.589282640018734
2018-11-05,SIMULADA,2018,45,19.631821628434736,47.1608924191193
2018-11-12,SIMULADA,2018,46,18.828066391094808,9.253486272181283
2018-11-19,SIMULADA,2018,47,20.247278411511086,7.344045649327915
2018-11-26,SIMULADA,2018,48,19.255346351208424,1.949718798023822
2018-12-03,SIMULADA,2018,49,25.228981585418676,28.753459959244594
2018-12-10,SIMULADA,2018,50,19.457939588393437,18.056774880096636
2018-12-17,SIMULADA,2018,51,20.944667844904824,12.884550981954657
2018-12-24,SIMULADA,2018,52,21.0781485505784,13.39787400609781
2018-12-31,SIMULADA,2019,1,21.944104352856254,2.3500826507211503
2019-01-07,SIMULADA,2019,2,23.82376938939055,23.49729058480978
2019-01-14,SIMULADA,2019,3,24.655943490913472,12.686105790231903
2019-01-21,SIMULADA,2019,4,21.096358912707153,7.137420236636681
2019-01-28,SIMULADA,2019,5,24.71974789096147,30.734277441993434
2019-02-04,SIMULADA,2019,6,22.08362101923787,19.97105647849132
2019-02-11,SIMULADA,2019,7,21.175281082930688,3.8514527701794914
2019-02-18,SIMULADA,2019,8,21.87778397458564,16.281368212688374
2019-02-25,SIMULADA,2019,9,28.342599926073767,4.6458398825475165
2019-03-04,SIMULADA,2019,10,21.766891132753106,1.785847924126724
2019-03-11,SIMULADA,2019,11,25.401461788787906,1.555396417933376
2019-03-18,SIMULADA,2019,12,23.415798583285778,6.391028994444451
2019-03-25,SIMULADA,2019,13,20.077611270306818,36.68607143258102
2019-04-01,SIMULADA,2019,14,19.568016927350392,1.4539682736399255
2019-04-08,SIMULADA,2019,15,21.65921815821946,42.45298491380474
2019-04-15,SIMULADA,2019,16,20.314487004595023,27.032650368134597
2019-04-22,SIMULADA,2019,17,19.631921268318685,14.220361855866068
2019-04-29,SIMULADA,2019,18,19.74244096987998,29.080133828430256
2019-05-06,SIMULADA,2019,19,21.49965665351004,17.8132115224195
2019-05-13,SIMULADA,2019,20,16.12295396026096,15.652991259271296
